reference	prediction
If Alkar is flooding her with psychic waste, that explains the high level of neurotransmitters.	if Alkar is flooded with psychic waste, that explains the high levels of neuro
Now you're getting nasty.	now you're getting nasty.
Well, we could spare your life, for one.	well, we could spare your life for one.
Ah! Monkey, you've got to snap out of it.	monkey, you have to get out of here.
I've got orders to put her down.	I have orders to put her down.
I'm not gonna have a child... ...with the same genetic disorder as me who's gonna die. L...	I'm not going to have a child with the same genetic disorder as me.
They're all laughing at us, so we'll kick your ass.	they're laughing at us, so we'll get you.
Maine was very short on black people back then.	Maine was very short on black people back then.
Briggs, what the hell's happening?	Briggs, what the hell's going on?
Another one simply had no clue what to do, so whenever he met my brother he'd beat the crap out of him, and then say:	another had no idea what to do, so whenever he met my brother, he beat
I suppose you want me to buy you flowers and chocolates and whisper sweet nothings.	I guess you want me to buy you flowers and chocolates and whisper sweet nothings.
So now their spirits are cursed, walking back roads, waterways, and if they find an unfaithful man, they kill him, and that man is never seen again.	so now their spirits are cursed, they walk on the back roads, on the waterways
Freezing him.	freezing him.
Come on, Cal, leave that shit alone.	come on, Cal, leave it alone.
So he's the Top dog.	so he's the best dog.
I swore when I went out with Xander Harris... ...I'd rather die than datea fixer-upper again.	I swore when I went out with Xander Harris...... I'd rather die
I'm famous, and you're done.	I'm famous, and you're done.
"To quote Jake Oppenheimer: I, who am about to die, must seem to them something ""God-awful.""..."	to quote Jake Oppenheimer, I'm about to die, and they must think
“Could you please be quiet, Miss Lavish?” said Moist.	"""can you please be quiet, Miss Lavish?"" Said Moist."
Murder for hire.	murder for hire.
Fatuous Xerxes blithely surrendered control to the computer grid, ordering it to take care of whatever troubles might arise.	the fatuous Xerxes blithely surrendered control of the
That night, Li'l Dice satisfied his thirst to kill, though he knew Shaggy would never forgive him.	Li'l Dice had a thirst for murder that night, even though he knew
Real life starts the first time you fuck, kid.	real life starts when you first get laid, kid.
I think you are the strangest man I've ever met.	I think you're the weirdest man I've ever met.
I say creepy, I mean, it's totally batshit crazy I can even talk to you.	I mean, it's crazy that I can even talk to you.
Shit, this one I can't even pronounce.	hell, I can't even pronounce it.
I like that shit.	I like it.
Trying to keep me fucking drugged so I don't know what's going on.	they're trying to keep me drugged so I don't know what's going
How is this not porn? This is porn that comes home.	it's not porn, it's porn that comes home.
Hey, leave the poor bastard alone!	hey, leave the poor guy alone!
You want the bad news? Or the really bad news?	you want bad news or bad news?
And I'm not just talking about you punching me over your boyfriend, the girlfriend.	and I'm not talking about you beating me up about your friend, your girlfriend.
"And Murray, being the butt-plug that he is, doesn't see the problem, until one day Glenda says, “I've had this business, ""Anything is better than nothing."""	and Murray, being the snitch, doesn't see the problem until Glend
No matter the reason, this company is unfit.	no matter what the reason, this company is unfit.
Now, I understand you got your grievances with these fools, but you need to talk to the police and air this shit.	I understand you have your problems with these nutcases, but you have to talk to
I'll rot in front of his cameras, on him.	I'll rot in front of his cameras, on him.
The killer detail!	the killer detail!
Tell him if Elena doesn't pick up the phone, we'il kill him.	tell him if Elena doesn't pick up the phone, we'll take him down
And it just helped that you have no morals or integrity.	and it just helped that you didn't have morals or integrity.
The reward on his head is substantial.	the reward on his head is substantial.
Not content with merely killing my son, the Count and his sisters savage brood mutilated his body and contemptuously deposited it at my castle gate.	the Count and his sisters mutilated his body and deposited it in the castle
It told you this was a waste of my fucking time.	he told you it was a waste of time.
It was from the killer.	it was from the killer.
I swear to God, the best thing I ever did in my life was save that little son of a bitch	I swear to God, the best thing I've ever done in my life was to save
He's ashamed of you, because your copybook is blotted.	he's ashamed of you because your copybook is ruined.
You wanna know why? if anything happens that's not about you... ...you are bored witless!	if anything happens that's not about you, you're bored.
'Be quiet, you two,' said Granny.	'Be quiet, you two,'said Granny.
As long as you work for these goombahs, you're doomed.	as long as you work for these goombas, you're doomed.
The guy is totally irresponsible.	the guy is totally irresponsible.
Funny how Nazis are always the bad guys.	it's funny how the Nazis always have bad guys.
You must've been pissed. Damn straight.	you must have been pissed.
"""Do you want to die?"" he said."	"""do you want to die?"" He asked."
I just can't believe how twisted Marcie got.	I just can't believe how twisted Marcie is.
If it were, his new press secretary would not be describing himself as “dopey.”	"if he were, his new press secretary wouldn't be describing himself as """
You didn't kill her and chop her up, that's not what we're smelling, right?	you didn't kill her and cut her up, that's not what we smell,
You imply she's the devil's handmaiden.	you're implying she's the devil's servant.
Does anal...	does anal...
Then I wax chest and back weekly, sack and crack monthly.	then I wax my chest and back weekly, and I'll do it monthly.
Travis, someone's getting high over here-- he's going nuts.	Travis, someone's going crazy over here.
Better to drown than burn, I guess.	it's better to drown than burn.
Your girlfriends are dead.	your friends are dead.
The only crime he committed Was standing up to that bastard mcbride.	the only crime he committed was standing up to Mcbride.
Mikael was braver, or more foolhardy!	Mikael was braver or more ferocious!
What the hell is going on?	what's going on?
Then nolan's gonna be destroyed.	then nolan will be destroyed.
Do less crap, mostly.	mostly, less is more.
I hope your pee-pee freeze up.	I hope your pee-pee freezes.
Damn It!	oh, my God.
I don't need a bunny hill.	I don't need a bunny hill.
Appropriate, isn't it that I use it to send you to him?	isn't it appropriate that I use it to send you to him?
I just got my one-year chip from sex addicts anonymous.	I just got my one-year chip from anonymous sex addicts.
I don't have to do shit.	I don't have to do anything.
God damn, this is gonna be a long night.	Goddammit, this is gonna be a long night.
What was it doing in bloody England?	what was it doing in England?
"""Disgusting really,"" Charles said, taking a swill of beer."	"""it's really disgusting,"" Charles said, taking a swig of beer"
Kid, I wouldn't last 5 minutes leading an outfit like that if I wasn't as rotten as hell.	boy, I wouldn't have lasted five minutes in a dress like that if
Your drinking, your gambling, womanizing... but I am not putting up with your stalker.	your drinking, your gambling, your womanizing... but I'm not gonna tolerate your
Why, because some jaded college counselor said you won't get in here?	why, because some jaded college counselor said you wouldn't come here?
We must travel to the gorge to ensure Ariadne is dead.	we have to go to the gorge to ensure Ariadne is dead.
"""Get out of here, Ray, I'm gonna fight them!"""	"""get out of here, Ray, I'll fight them!"""
Hurt you and I want to find out who that was.	you hurt me, and I want to find out who it was.
He's clearly delusional or psychotic.	he's clearly delusional or psychotic.
I told you to bring Malik, not a crybaby.	I told you to bring Malik, not a crow.
It reminded me of the ten little niggers of the nursery rhyme.	it reminded me of the ten little negroes of the nursery rhyme
Make me, dollymop!	make me, dollymop!
Where the helI'd you get this?	where did you get this?
But you gotta admit, having memories of shit that never happened...	but you have to admit, I have memories of things that never happened.
"Should I have let the filthy gre'zu paw me?"""	"should I have let the dirty gre'zu paw me? """
What the heck was that all about?	what was that about?
Fuck! Get out of the fucking way!	get out of the way!
Trying to kill Ethan.	he tried to kill Ethan.
"""Thanks, ass hole,"" Case said."	"""thank you, swine,"" Case said."
Natasha, go be a whore elsewhere, okay?	Natasha, go be a sexy girl, okay?
MAN 1: Are you trying to kill us?	are you trying to kill us?
Mort's got a blender on his head.	Mort's got a blender on his head.
But if somebody rob me and end up dead... Well, you know, life is a motherfucker.	but if someone robbed me and ended up dead... well, you know, life
Wouldn't happen to be Latino?	wouldn't it be Latino?
Really fucking annoying.	really annoying.
'Don't you even turn around, you . . . you turd.' Jules went out.	"""don't even turn around, you turd."" Jules went out."
When you're throwing away a monkey, you don't need the Latin name.	when you throw away a monkey, you don't need a Latin name.
